Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
400-28,400,0.3750629425048828,5699.7001272444395
400-29,400,0.7604069709777832,12364.984198573757
400-30,400,0.6866028308868408,5957.079376252452
600-1,600,1.0746068954467773,5851.319634338152
600-2,600,1.1288251876831055,11974.135808953504
600-3,600,1.124084234237671,8587.423723239506
600-4,600,0.40262675285339355,5944.230668586115
600-5,600,0.328538179397583,6422.749830187777
600-6,600,1.1457479000091553,10808.244904016787
600-7,600,0.44595932960510254,7089.407064096816
600-8,600,1.131232500076294,12328.067495162513
600-9,600,0.27358031272888184,5904.573748821556
600-10,600,0.7429962158203125,6068.488561099921
600-11,600,1.1545968055725098,9618.939249469453
600-12,600,1.1665759086608887,8558.297513463844
600-13,600,0.22115278244018555,6386.07327220553
600-14,600,1.210954189300537,6287.292293556342
600-15,600,1.1158537864685059,6452.105106047547
600-16,600,0.3356204032897949,6135.478745650007
600-17,600,1.1585192680358887,10117.821215765685
600-18,600,1.140148401260376,9344.058140651427
600-19,600,0.9460184574127197,6081.426872714868
600-20,600,1.0732104778289795,5202.88242571118
600-21,600,1.1191306114196777,9709.078413214535
600-22,600,1.1426594257354736,6260.875216374685
600-23,600,1.0991337299346924,7299.526239207643
600-24,600,1.0235559940338135,5699.7001272444395
600-25,600,1.1252005100250244,8045.486186260932
600-26,600,1.1376850605010986,10122.148254020402
600-27,600,1.1531734466552734,12249.543215140315
600-28,600,1.1334550380706787,11082.096767879226
600-29,600,0.266585111618042,5918.329312161673
600-30,600,0.7466390132904053,5944.230668586115
800-1,800,0.5170853137969971,6591.38449500633
800-2,800,1.5548460483551025,11126.836039886408
800-3,800,1.4192607402801514,6094.269449844173
800-4,800,1.5532763004302979,12046.983905476598
800-5,800,1.0867395401000977,6018.302859632107
800-6,800,1.524775743484497,7929.969445857865
800-7,800,0.8151688575744629,6068.488561099921
800-8,800,0.873960018157959,6081.426872714868
800-9,800,0.9552130699157715,6591.38449500633
800-10,800,1.1156151294708252,6575.258097050308
800-11,800,0.5476725101470947,6422.749830187777
800-12,800,1.460209846496582,6934.260491381815
800-13,800,0.8151204586029053,5957.079376252452
