Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
200-14,200,0.3498260974884033,4523.454485448545
200-15,200,0.35243916511535645,4937.112319231923
200-16,200,0.2042379379272461,4244.6936093609365
200-17,200,0.3474881649017334,4827.074401440144
200-18,200,0.19437813758850098,4782.725730573057
200-19,200,0.3407480716705322,4357.620538373838
200-20,200,0.2796812057495117,4358.37497749775
200-21,200,0.3476450443267822,4937.112319231923
200-22,200,0.36017489433288574,3962.715913591359
200-23,200,0.14234685897827148,4188.5702970297025
200-24,200,0.36451220512390137,4279.564782478248
200-25,200,0.2798342704772949,4449.575583558356
200-26,200,0.16289710998535156,4458.912217221722
200-27,200,0.35985398292541504,3454.061488148815
200-28,200,0.3448500633239746,3924.1218541854187
200-29,200,0.3599710464477539,3454.061488148815
200-30,200,0.3447847366333008,3438.5614881488145
250-1,250,0.4442617893218994,3743.267448559671
250-2,250,0.44098591804504395,4288.0270927092715
250-3,250,0.4382140636444092,4521.670905349794
250-4,250,0.4412868022918701,4641.472247224723
250-5,250,0.4449918270111084,4695.112211221122
250-6,250,0.4432549476623535,4560.924590459046
250-7,250,0.42761707305908203,4195.217283950617
250-8,250,0.4403672218322754,4357.428646864686
250-9,250,0.15561819076538086,4985.570921092109
250-10,250,0.3950011730194092,5524.876129612961
250-11,250,0.43559718132019043,4472.542052205221
250-12,250,0.34512996673583984,5406.223792379238
250-13,250,0.18496394157409668,5281.788028802881
250-14,250,0.4438591003417969,3562.5206433235917
250-15,250,0.43734002113342285,4825.7633123312335
250-16,250,0.440737247467041,4226.938517851785
250-17,250,0.5894820690155029,4411.0080768076805
250-18,250,0.45532965660095215,3563.282880658436
250-19,250,0.42830896377563477,5258.408533333333
250-20,250,0.42895007133483887,5327.967494749475
250-21,250,0.27518534660339355,4278.117497749775
250-22,250,0.4411919116973877,3438.5614881488145
250-23,250,0.3117380142211914,6003.120533333334
250-24,250,0.43981480598449707,3432.790111011101
250-25,250,0.44487476348876953,4037.6355535553553
250-26,250,0.44256114959716797,5479.064692469246
250-27,250,0.4470508098602295,3361.736105610561
250-28,250,0.44499993324279785,4871.267134713471
250-29,250,0.47258710861206055,4899.467410741074
250-30,250,0.4340038299560547,3361.736105610561
300-1,300,0.2421889305114746,4565.168256825682
300-2,300,0.1917569637298584,4313.876663666366
300-3,300,0.46707892417907715,4325.942335159441
300-4,300,0.2663261890411377,3547.934125412541
300-5,300,0.5241479873657227,4121.438433843385
300-6,300,0.2600858211517334,5650.275061728395
300-7,300,0.44281697273254395,4559.629138913891
300-8,300,0.5365309715270996,3506.1852505250527
300-9,300,0.5185470581054688,3924.1218541854187
300-10,300,0.5213279724121094,4331.788232823283
300-11,300,0.25295591354370117,4585.5285448544855
300-12,300,0.5263810157775879,3563.282880658436
300-13,300,0.5234289169311523,3361.736105610561
300-14,300,0.5358870029449463,4554.3372817281725
300-15,300,0.539222002029419,4436.07603360336
300-16,300,0.522968053817749,3530.6069426942695
300-17,300,0.5442402362823486,3432.790111011101
300-18,300,0.5399470329284668,4118.250849084909
300-19,300,0.5254819393157959,4142.022592259225
300-20,300,0.35708069801330566,5230.54023239361
300-21,300,0.5351419448852539,4092.519693969397
300-22,300,0.4377877712249756,5380.595553555355
300-23,300,0.5270028114318848,4331.788232823283
300-24,300,0.5165109634399414,3563.282880658436
300-25,300,0.5199501514434814,4037.6355535553553
300-26,300,0.5342521667480469,4142.022592259225
300-27,300,0.5284478664398193,4225.1016049382715
300-28,300,0.5239229202270508,4487.603004115226
300-29,300,0.5287261009216309,4853.25695473251
300-30,300,0.5367710590362549,3541.323864386439
350-1,350,0.6149070262908936,3440.4692289228924
350-2,350,0.6240949630737305,4252.20420734666
350-3,350,0.5974278450012207,3361.736105610561
