Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-75,350,4163.729135802469,0.3288607597351074
350-76,350,2339.7446684668466,0.7173280715942383
350-77,350,2558.3290249024903,0.7096047401428223
350-78,350,4501.520828082808,0.6965017318725586
350-79,350,2575.2561728395062,0.7308096885681152
350-80,350,2353.302916291629,0.7551226615905762
350-81,350,2668.387800780078,0.7305209636688232
350-82,350,2197.2437803780376,0.7061746120452881
350-83,350,3169.534467446745,0.7161214351654053
350-84,350,2197.6066666666666,0.7062785625457764
350-85,350,2096.481092109211,0.6934020519256592
350-86,350,inf,0.5525853633880615
350-87,350,2467.31341563786,0.6971938610076904
350-88,350,3040.406486648665,0.7044084072113037
350-89,350,2851.7514251425146,0.7100389003753662
350-90,350,2731.7959919325267,0.4903755187988281
350-91,350,1904.6413861386138,0.5356800556182861
350-92,350,4692.891401140114,0.19770097732543945
350-93,350,828.561602160216,0.7695903778076172
350-94,350,3477.7311551155117,0.16321635246276855
350-95,350,4948.431581158116,0.7299070358276367
350-96,350,2089.917869786979,0.6917276382446289
350-97,350,2179.562118211821,0.7335188388824463
350-98,350,2478.7256045604563,0.747490406036377
350-99,350,2380.3887428742873,0.6736328601837158
350-100,350,2441.0980258025807,0.7345433235168457
350-101,350,3491.0983127572017,0.45184993743896484
350-102,350,4248.983456345635,0.7247803211212158
350-103,350,3025.4767596759675,0.6886911392211914
350-104,350,2454.829172277228,0.7359027862548828
350-105,350,3559.709670781893,0.7228579521179199
350-106,350,1778.945310531053,0.6843006610870361
350-107,350,2684.6064506450643,0.7329516410827637
350-108,350,2564.141512151215,0.7200615406036377
350-109,350,3602.7687740774077,0.7242543697357178
350-110,350,2885.076419753086,0.6921167373657227
350-111,350,1747.391886468647,0.7250957489013672
350-112,350,3189.5525333333335,0.1321558952331543
350-113,350,1595.614690913536,0.759721040725708
350-114,350,4260.794239423943,0.7115330696105957
350-115,350,1980.710231023102,0.7340302467346191
350-116,350,3856.061632163217,0.7126567363739014
350-117,350,3191.8239003900394,0.7350537776947021
350-118,350,2291.9133333333334,0.6998467445373535
350-119,350,4464.347512751276,0.769057035446167
350-120,350,1892.2289648964895,0.6662065982818604
350-121,350,inf,0.5671777725219727
350-122,350,3108.450219021902,0.7065210342407227
350-123,350,3107.3672187218726,0.5398063659667969
350-124,350,2384.99097509751,0.7475996017456055
350-125,350,2479.181548673386,0.7195308208465576
350-126,350,2678.279333933394,0.7130684852600098
350-127,350,2864.0406780678068,0.7026097774505615
350-128,350,3274.7792739273928,0.7131292819976807
350-129,350,2879.927201646091,0.7191145420074463
350-130,350,4743.734323432343,0.12264323234558105
350-131,350,2808.483948394839,0.7202956676483154
350-132,350,4160.663564356435,0.7431440353393555
350-133,350,2419.7094187937314,0.7202811241149902
350-134,350,1956.331957566127,0.7334725856781006
350-135,350,2533.5990219021905,0.7586266994476318
350-136,350,inf,0.6252095699310303
350-137,350,3322.1564609053494,0.6871564388275146
350-138,350,3824.198024691358,0.725461483001709
