Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-64,350,5822.093333333332,0.6436240673065186
350-65,350,1449.2800000000002,0.5814831256866455
350-66,350,3971.001587158715,0.635796070098877
350-67,350,1152.86,0.6354632377624512
350-68,350,5057.675349794238,0.628720760345459
350-69,350,5702.361733333333,0.6251590251922607
350-70,350,4226.860000000001,0.6162228584289551
350-71,350,5432.493369336936,0.6331601142883301
350-72,350,3013.2833744855966,0.6337981224060059
350-73,350,2875.931842184218,0.6046919822692871
350-74,350,2706.6114666666663,0.5891308784484863
350-75,350,2573.5433333333335,0.574038028717041
350-76,350,5036.065652565256,0.6016981601715088
350-77,350,5262.341144794479,0.6093800067901611
350-78,350,5189.846049382715,0.5913381576538086
350-79,350,5072.173333333334,0.603234052658081
350-80,350,4098.17987654321,0.5847382545471191
350-81,350,3808.3705670567056,0.6131398677825928
350-82,350,3987.085073507351,0.5487229824066162
350-83,350,5906.286266666666,0.5842442512512207
350-84,350,3457.50172032018,0.5864059925079346
350-85,350,2424.8882358235824,0.5789837837219238
350-86,350,inf,0.5166139602661133
350-87,350,4643.2117333333335,0.5907487869262695
350-88,350,2681.626666666666,0.589292049407959
350-89,350,5287.0994239423935,0.5859880447387695
350-90,350,3700.630795079508,0.5988481044769287
350-91,350,inf,0.6432597637176514
350-92,350,5176.20695473251,0.5842850208282471
350-93,350,4671.828742874288,0.5859811305999756
350-94,350,1812.4195649564958,0.5995621681213379
350-95,350,4783.190135013502,0.5905470848083496
350-96,350,4385.500164609054,0.582643985748291
350-97,350,4713.986819681968,0.5860469341278076
350-98,350,3762.6591689168918,0.5943670272827148
350-99,350,5994.686008230452,0.17180538177490234
350-100,350,3640.709273927393,0.577739953994751
350-101,350,2481.6194299429944,0.5799999237060547
350-102,350,3997.078395061728,0.601963996887207
350-103,350,7487.956625514404,0.600883960723877
350-104,350,5126.28315031503,0.5862152576446533
350-105,350,3038.2434443444345,0.595695972442627
350-106,350,5442.75366255144,0.5894019603729248
350-107,350,1817.019927437188,0.5913600921630859
350-108,350,3789.059702970297,0.5851719379425049
350-109,350,5441.050919684561,0.46342897415161133
350-110,350,2817.9845184518454,0.5812530517578125
350-111,350,3938.728843684368,0.5978732109069824
350-112,350,1962.9544855967079,0.5993332862854004
350-113,350,5663.875761316872,0.5111989974975586
350-114,350,4090.307743774377,0.5824620723724365
350-115,350,3524.34103810381,0.587479829788208
350-116,350,3458.2533333333336,0.6002101898193359
350-117,350,4651.478391839185,0.589555025100708
350-118,350,6205.820740740741,0.5833029747009277
350-119,350,4698.274563456346,0.590378999710083
350-120,350,5870.405466666667,0.25013017654418945
350-121,350,3453.2784601793514,0.5947520732879639
350-122,350,3899.57104110411,0.5827667713165283
350-123,350,4267.484089408941,0.5957140922546387
350-124,350,2856.498477366255,0.5785539150238037
350-125,350,3523.453171317132,0.48023295402526855
350-126,350,4530.859333933393,0.5980658531188965
350-127,350,3420.686666666667,0.615821123123169
350-128,350,4550.341911191119,0.5866878032684326
350-129,350,460.6933333333334,0.5504629611968994
350-130,350,4691.99090309031,0.5853619575500488
350-131,350,2627.7133333333336,0.6023838520050049
350-132,350,2808.8452674897117,0.5846598148345947
350-133,350,4402.015343534354,0.592689037322998
350-134,350,2234.721887188719,0.32823777198791504
350-135,350,3440.0810699588483,0.588280200958252
350-136,350,4141.607160493827,0.4601421356201172
350-137,350,inf,0.513538122177124
350-138,350,3845.7154935493554,0.5897037982940674
350-139,350,8772.021350135014,0.420499324798584
350-140,350,5561.762633744855,0.5840771198272705
350-141,350,2580.5230666666666,0.5986130237579346
350-142,350,4709.453333333333,0.5421209335327148
350-143,350,5400.858064806482,0.5914013385772705
350-144,350,4255.408070807081,0.5975611209869385
350-145,350,4454.458877887789,0.46317005157470703
350-146,350,3375.0228806584355,0.5947020053863525
350-147,350,3606.2229402940297,0.6008813381195068
350-148,350,5920.53593459346,0.5979447364807129
350-149,350,3471.9799999999996,0.6045308113098145
350-150,350,2322.631152263374,0.5919821262359619
350-151,350,3559.165925925926,0.5794217586517334
350-152,350,3662.6870777077716,0.5919511318206787
350-153,350,inf,0.5153939723968506
350-154,350,6218.921314131412,0.6117091178894043
350-155,350,4203.639999999999,0.6053752899169922
350-156,350,inf,0.6367602348327637
350-157,350,4991.890375037505,0.5827372074127197
350-158,350,inf,0.6340148448944092
350-159,350,5492.864255314422,0.545579195022583
350-160,350,5991.852757201646,0.584784746170044
