Experiment ID,Number of Ants,Time Cost (seconds)
350-78,350,3669.245316531653
350-79,350,2911.8913591359137
350-80,350,3152.9782838283827
350-81,350,2520.913995695866
350-82,350,2471.9249504950494
350-83,350,3593.438094105707
350-84,350,1704.1491209120913
350-85,350,2669.7585358535853
350-86,350,inf
350-87,350,4104.31300330033
350-88,350,1560.3105761316874
350-89,350,3255.8837623762374
350-90,350,2849.7345634563453
350-91,350,inf
350-92,350,2919.5457485748575
350-93,350,4452.953639363936
350-94,350,2628.0747012345682
350-95,350,4027.4972397239726
350-96,350,2923.9153015301526
350-97,350,3272.520258025802
350-98,350,3627.5230543054304
350-99,350,3029.8965333333335
350-100,350,2095.991563786008
350-101,350,3192.0206000600065
350-102,350,3241.64303030303
350-103,350,4180.576357635763
350-104,350,3230.7000823045264
350-105,350,2291.537515751575
350-106,350,3403.8948994899492
350-107,350,1130.0471287128712
350-108,350,3319.65670781893
350-109,350,2282.008395061728
350-110,350,2451.710205316828
350-111,350,2060.398079807981
350-112,350,1468.5994599459946
350-113,350,1511.0881788178817
350-114,350,1986.6326748971194
350-115,350,2861.7234443444345
350-116,350,2247.6795061728394
350-117,350,2361.966342634263
350-118,350,3955.3294629462944
350-119,350,2633.7748454845487
350-120,350,3826.2526337448558
350-121,350,2151.1343474347436
350-122,350,3497.492295229523
350-123,350,3170.7349234923495
350-124,350,2634.9067489711933
350-125,350,3367.928952895289
350-126,350,2839.160918571857
350-127,350,2620.229822982298
350-128,350,3541.4689711934157
350-129,350,2544.26801080108
350-130,350,3251.2768976897687
350-131,350,3256.58300030003
350-132,350,2653.875385538554
350-133,350,3222.9535853585357
350-134,350,1068.2432000000001
350-135,350,2066.3733333333334
350-136,350,3163.8751875187518
350-137,350,inf
350-138,350,2362.064278427843
350-139,350,4729.607942386831
350-140,350,2916.830195019502
350-141,350,1966.5659586699408
350-142,350,3542.0395559555955
350-143,350,3574.2005333333336
350-144,350,2727.7666666666664
350-145,350,2388.918597970908
350-146,350,1476.7553615361537
350-147,350,2679.794461446145
350-148,350,2428.571467146715
350-149,350,2966.6210441044104
350-150,350,1953.8338253825384
350-151,350,1935.7210441044103
350-152,350,2356.7566456645663
350-153,350,inf
350-154,350,3329.323636363636
350-155,350,1906.7596579657966
350-156,350,inf
350-157,350,3358.0039094650206
350-158,350,inf
350-159,350,3941.9909510951093
350-160,350,3331.4539333933394
350-161,350,inf
350-162,350,2157.881326132613
350-163,350,3549.6212757201647
350-164,350,3537.5208000000002
350-165,350,1772.842076207621
350-166,350,2330.9606584362136
350-167,350,2262.2342798353907
350-168,350,3773.004404440444
350-169,350,2487.937407407407
350-170,350,1840.366900690069
350-171,350,2531.2292592592594
350-172,350,1556.96
350-173,350,1422.3009360936094
350-174,350,2916.661302130213
350-175,350,1817.3612541254126
350-176,350,1903.7933333333335
350-177,350,4121.76
350-178,350,3300.9996039603957
350-179,350,2644.80199219922
350-180,350,inf
350-181,350,inf
350-182,350,2744.2520164609055
350-183,350,2963.0964197530866
350-184,350,2483.471863186319
350-185,350,1589.1541434143414
350-186,350,2749.8693503794825
350-187,350,3430.1929072907296
350-188,350,2337.784782478248
350-189,350,2705.052109210921
350-190,350,3000.5332418841886
350-191,350,2670.631587158716
350-192,350,4775.610165016502
350-193,350,3618.7682716049385
350-194,350,2705.27700570057
350-195,350,2366.3865646564655
350-196,350,2120.7506390639064
350-197,350,5250.208604860486
350-198,350,3036.55602760276
350-199,350,4474.552415241524
350-200,350,2847.437827782778
350-201,350,1613.9746474647466
350-202,350,1670.0466666666666
350-203,350,4070.854461446145
350-204,350,3135.909866666667
350-205,350,2015.6363036303633
350-206,350,3268.3143186911284
350-207,350,2239.173333333333
350-208,350,3093.3133993399338
350-209,350,2377.605496549655
350-210,350,2542.597089708971
350-211,350,3335.2936
350-212,350,1791.4323972397242
350-213,350,3334.7793827160494
350-214,350,3659.7080489648965
350-215,350,2650.6615661566157
350-216,350,2139.0590639063907
350-217,350,2328.7390639063906
350-218,350,3074.6391959195917
350-219,350,2697.71104710471
350-220,350,1987.1488784804405
350-221,350,1442.3678187818782
350-222,350,3049.313567356736
350-223,350,2816.3050381334433
350-224,350,3198.372607260726
350-225,350,1698.2846684668466
350-226,350,3504.0089408940894
350-227,350,3001.95699369937
350-228,350,2878.2013441344134
350-229,350,2661.1111311131112
350-230,350,2938.6341794179416
350-231,350,3063.892025276602
350-232,350,3229.0621285461875
350-233,350,3214.3914666666665
350-234,350,3085.7149654965497
350-235,350,2697.7254425442543
350-236,350,766.1933333333334
350-237,350,2789.1567896789675
350-238,350,2442.5506995884775
350-239,350,3625.402916291629
350-240,350,inf
350-241,350,3026.806120612061
350-242,350,4210.351197119712
350-243,350,2097.898312757202
350-244,350,2358.8235523552357
350-245,350,2451.069924992499
350-246,350,3323.5085941927528
350-247,350,1968.4183918391836
350-248,350,2251.028618195153
350-249,350,2805.282298229823
350-250,350,3083.6677333333337
350-251,350,2175.8604680468047
350-252,350,2768.9823162316234
350-253,350,2262.9173246583914
350-254,350,1874.6177173643287
350-255,350,3247.0909333333334
350-256,350,4007.706008230453
350-257,350,2362.103114311431
350-258,350,2811.286529282558
350-259,350,2326.3163336333637
350-260,350,2479.845310531053
350-261,350,2461.5357455745575
350-262,350,1857.5464609053497
350-263,350,2639.428298829883
350-264,350,2750.1087188718875
350-265,350,1794.31801380138
350-266,350,3183.2882988298834
350-267,350,1778.6769636963695
350-268,350,3541.7741794179424
350-269,350,2888.052793279328
350-270,350,2414.824692469247
350-271,350,1330.8328772877287
350-272,350,2372.96
350-273,350,inf
350-274,350,3347.4314671467146
350-275,350,2584.167476747675
350-276,350,3426.172397239724
350-277,350,1997.0551560756073
350-278,350,4243.074923492349
350-279,350,3553.176419753086
350-280,350,2929.650195019502
350-281,350,3689.2455505550556
350-282,350,1982.0075727572757
350-283,350,4448.2591999999995
350-284,350,1659.7631683168315
350-285,350,2412.3026151874446
350-286,350,2322.902133333333
350-287,350,3079.996159615962
350-288,350,1765.028124812481
350-289,350,2870.7418666666667
350-290,350,4135.083972397239
350-291,350,2992.25497749775
350-292,350,2079.9592679267926
350-293,350,4396.696419753087
350-294,350,2702.4
350-295,350,2141.6437923792378
350-296,350,2019.367620762076
350-297,350,2113.7913651365134
350-298,350,3460.0295769576956
350-299,350,2978.2788298829882
350-300,350,2630.1650105010503
350-301,350,3026.144734473447
350-302,350,4051.910489048905
350-303,350,inf
350-304,350,3363.787296729673
350-305,350,3501.4520492049205
350-306,350,4208.3139094650205
350-307,350,2309.1713809780977
350-308,350,2979.192409240924
350-309,350,3230.872607260726
350-310,350,1909.3996039603962
350-311,350,1818.1494929492949
350-312,350,2308.6776
350-313,350,3190.0992592592593
350-314,350,1611.7729912250484
350-315,350,2313.7364476447647
350-316,350,3701.216502057613
350-317,350,1480.3359543361744
350-318,350,3425.605604560456
350-319,350,2367.4958295829583
350-320,350,3230.3927932793276
350-321,350,3337.603822382238
350-322,350,2248.0127983539096
350-323,350,3414.383390339034
350-324,350,1653.6653945394537
350-325,350,3930.8068526852685
350-326,350,2397.193333333333
350-327,350,3891.7780018001804
350-328,350,4527.859423942395
350-329,350,3500.744691358025
350-330,350,1115.811646090535
350-331,350,2759.445809543917
350-332,350,3407.4437443744373
350-333,350,2957.5133333333333
350-334,350,3077.707654320988
350-335,350,1057.361410141014
350-336,350,4319.06108010801
350-337,350,2618.289690969097
350-338,350,inf
350-339,350,3145.8325333333332
350-340,350,3129.1952
350-341,350,2519.5297329732975
350-342,350,2281.9741333333336
350-343,350,inf
350-344,350,2386.5392379237924
350-345,350,inf
350-346,350,2554.6063094650203
350-347,350,2374.767613168724
350-348,350,2031.702202220222
350-349,350,1790.6965333333333
350-350,350,1951.2452685268527
350-351,350,5623.281710171018
350-352,350,2692.667386738674
350-353,350,inf
350-354,350,3633.7838343834383
350-355,350,2409.2179012345678
350-356,350,3222.7862106210623
350-357,350,2055.6509333333333
350-358,350,2414.6198199819983
350-359,350,3070.5732843654732
350-360,350,2243.217811114445
350-361,350,3550.174617461746
350-362,350,2443.9121572157214
350-363,350,2464.088742874287
350-364,350,3046.498715871587
350-365,350,3398.6497149714974
350-366,350,2995.5829822982296
350-367,350,1884.7396759675967
350-368,350,2598.6419501950195
350-369,350,2782.997407407407
350-370,350,1925.6279637860082
350-371,350,2522.7693009300933
350-372,350,inf
350-373,350,3057.9263176688037
350-374,350,inf
350-375,350,3290.9361956195617
350-376,350,1528.123535279454
350-377,350,2598.957066666667
350-378,350,inf
350-379,350,3695.4913591359136
350-380,350,2746.5958789212254
350-381,350,3238.88198019802
350-382,350,2487.3538640160314
350-383,350,2309.6620402040203
350-384,350,3772.4216
350-385,350,2143.7551575157518
350-386,350,2523.9650525052502
350-387,350,inf
350-388,350,2350.895379537954
350-389,350,2901.7256525652565
350-390,350,2089.458115811581
350-391,350,2807.9611581158115
350-392,350,3462.300993729002
350-393,350,2071.6886408640867
350-394,350,2963.0282328232825
350-395,350,3632.180905349794
350-396,350,4473.066900690069
350-397,350,4053.698597970908
