Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds),Find
300-19,300,1585.547456737779,0.049488067626953125,True
300-20,300,952.2941234044462,0.04639315605163574,True
300-21,300,617.3224567377797,0.04885387420654297,True
300-22,300,1207.735790071113,0.01574420928955078,True
300-23,300,1013.2826346427905,0.04175591468811035,True
300-24,300,1101.0386255191245,0.06060600280761719,True
300-25,300,734.2295203836929,0.05312705039978027,True
300-26,300,896.8541234044462,0.051526784896850586,True
300-27,300,1155.8657900711128,0.04958796501159668,True
300-28,300,482.84802113352544,0.05323004722595215,True
300-29,300,813.360790071113,0.0501401424407959,True
300-30,300,1153.7374567377797,0.051241159439086914,True
31,300,0,0,False
300-32,300,951.0143013094571,0.0421140193939209,True
300-33,300,515.477877939723,0.04811501502990723,True
300-34,300,1253.784123404446,0.015133857727050781,True
300-35,300,612.1833924251762,0.08502888679504395,True
300-36,300,1226.0474567377792,0.015686988830566406,True
300-37,300,853.8852479024384,0.04549407958984375,True
300-38,300,1007.7170406650777,0.05403399467468262,True
300-39,300,782.3707900711129,0.04968595504760742,True
300-40,300,634.4975937857156,0.0477449893951416,True
300-41,300,862.9163885374612,0.04338479042053223,True
300-42,300,1044.3540888578489,0.060801029205322266,True
300-43,300,1237.9691234044462,0.015802860260009766,True
300-44,300,1163.8257900711128,0.0517880916595459,True
300-45,300,816.4739921837744,0.07349681854248047,True
300-46,300,930.6441234044462,0.05157899856567383,True
300-47,300,997.5024567377794,0.041130781173706055,True
48,300,0,0,False
300-49,300,1026.8865123269416,0.05938220024108887,True
300-50,300,465.56635446685874,0.051360130310058594,True
500-1,500,1151.5641234044463,0.08691716194152832,True
2,500,0,0,False
500-3,500,934.4807900711128,0.08420920372009277,True
500-4,500,1569.5741234044463,0.0852518081665039,True
5,500,0,0,False
500-6,500,493.06947791164663,0.07834696769714355,True
500-7,500,517.601204819277,0.11806011199951172,True
500-8,500,1040.0787232807413,0.11884689331054688,True
9,500,0,0,False
500-10,500,918.2926346427904,0.07584285736083984,True
500-11,500,898.3874567377798,0.08391594886779785,True
12,500,0,0,False
500-13,500,842.5054695676118,0.12438678741455078,True
500-14,500,530.8908825228973,0.07911896705627441,True
15,500,0,0,False
500-16,500,879.771914569105,0.08227372169494629,True
500-17,500,596.3708825228973,0.08107519149780273,True
500-18,500,686.4054995196925,0.08386611938476562,True
500-19,500,1585.547456737779,0.08329582214355469,True
500-20,500,951.4169145691048,0.0811769962310791,True
500-21,500,617.3224567377797,0.08632111549377441,True
500-22,500,1207.735790071113,0.07276010513305664,True
500-23,500,1013.2826346427905,0.07335019111633301,True
500-24,500,1095.928012725515,0.07352685928344727,True
500-25,500,734.2295203836929,0.08605384826660156,True
500-26,500,896.8541234044462,0.08281087875366211,True
500-27,500,1155.8657900711128,0.08401370048522949,True
500-28,500,482.84802113352544,0.08729314804077148,True
500-29,500,813.360790071113,0.08303403854370117,True
500-30,500,1153.7374567377797,0.08361601829528809,True
31,500,0,0,False
500-32,500,951.0143013094571,0.07524299621582031,True
500-33,500,515.477877939723,0.08110809326171875,True
500-34,500,1253.784123404446,0.0730900764465332,True
500-35,500,612.1833924251762,0.1307051181793213,True
500-36,500,1226.0474567377792,0.07550787925720215,True
500-37,500,853.8852479024384,0.08204507827758789,True
500-38,500,1007.7170406650777,0.08615589141845703,True
500-39,500,782.3707900711129,0.08708882331848145,True
500-40,500,634.4975937857156,0.0847630500793457,True
500-41,500,862.9163885374612,0.10141324996948242,True
500-42,500,1044.3540888578489,0.09002375602722168,True
500-43,500,1237.9691234044462,0.07400894165039062,True
500-44,500,1163.8257900711128,0.08510112762451172,True
500-45,500,816.4739921837744,0.12049698829650879,True
500-46,500,930.6441234044462,0.08335995674133301,True
500-47,500,620.3892158562306,0.07535719871520996,True
48,500,0,0,False
500-49,500,1026.8865123269416,0.09200119972229004,True
500-50,500,465.56635446685874,0.08405280113220215,True
700-1,700,1151.5641234044463,0.11554789543151855,True
2,700,0,0,False
700-3,700,934.4807900711128,0.12736892700195312,True
700-4,700,1569.5741234044463,0.11579489707946777,True
5,700,0,0,False
700-6,700,493.06947791164663,0.10572099685668945,True
700-7,700,517.601204819277,0.14782118797302246,True
700-8,700,1040.0787232807413,0.1541581153869629,True
9,700,0,0,False
700-10,700,918.2926346427904,0.1067662239074707,True
700-11,700,898.3874567377798,0.11716699600219727,True
12,700,0,0,False
700-13,700,842.5054695676118,0.10609173774719238,True
700-14,700,530.8908825228973,0.11324596405029297,True
15,700,0,0,False
700-16,700,879.771914569105,0.12127280235290527,True
700-17,700,596.3708825228973,0.1114192008972168,True
700-18,700,686.4054995196925,0.08414793014526367,True
700-19,700,1585.547456737779,0.12025189399719238,True
700-20,700,951.4169145691048,0.1254429817199707,True
700-21,700,617.3224567377797,0.11963701248168945,True
700-22,700,853.2666666666665,0.1078789234161377,True
700-23,700,1013.2826346427905,0.10637211799621582,True
700-24,700,1095.928012725515,0.07132983207702637,True
700-25,700,734.2295203836929,0.11584591865539551,True
700-26,700,896.8541234044462,0.12605690956115723,True
700-27,700,1155.8657900711128,0.11641693115234375,True
700-28,700,482.84802113352544,0.11950302124023438,True
700-29,700,813.360790071113,0.1178748607635498,True
700-30,700,1153.7374567377797,0.11729097366333008,True
31,700,0,0,False
700-32,700,951.0143013094571,0.10925698280334473,True
700-33,700,515.477877939723,0.11298298835754395,True
700-34,700,612.2844779116465,0.1052098274230957,True
700-35,700,612.1833924251762,0.1725599765777588,True
700-36,700,584.5478112449799,0.10556292533874512,True
700-37,700,853.8852479024384,0.11985588073730469,True
700-38,700,1007.7170406650777,0.11896014213562012,True
700-39,700,782.3707900711129,0.11675286293029785,True
700-40,700,634.4975937857156,0.11304497718811035,True
700-41,700,862.9163885374612,0.1421811580657959,True
700-42,700,1044.3540888578489,0.09058785438537598,True
700-43,700,596.4694779116464,0.10626721382141113,True
700-44,700,1163.8257900711128,0.11821103096008301,True
700-45,700,816.4739921837744,0.16874909400939941,True
700-46,700,930.6441234044462,0.11701703071594238,True
700-47,700,620.3892158562306,0.1082448959350586,True
48,700,0,0,False
700-49,700,1026.8865123269416,0.08941268920898438,True
