Experiment ID,Episode,Execution Time (seconds),Time Cost
600-6,600,15.685322999954224,3500.8229642964297
600-7,600,14.851025342941284,4008.4067326732675
600-8,600,21.121911764144897,3585.927789593774
600-9,600,15.348900079727173,3463.2788598859884
600-10,600,22.07929491996765,3450.8292649264927
600-12,600,10.645588874816895,4459.458121812181
600-14,600,47.660841941833496,4729.559267926793
600-15,600,27.582027196884155,4616.017293729373
600-16,600,11.192081928253174,3463.2788598859884
600-21,600,13.58660101890564,4616.017293729373
600-22,600,20.749006271362305,3463.2788598859884
600-23,600,29.453343152999878,3463.2788598859884
600-27,600,20.750114679336548,4459.458121812181
600-28,600,9.352858781814575,4008.4067326732675
600-30,600,34.91852283477783,4616.017293729373
700-3,700,18.791393995285034,4008.4067326732675
700-5,700,27.412459135055542,3463.2788598859884
700-6,700,38.76806402206421,3463.2788598859884
700-7,700,27.87107515335083,4459.458121812181
700-9,700,13.40460205078125,3463.2788598859884
700-10,700,13.249568939208984,3463.2788598859884
700-13,700,40.45248889923096,4729.559267926793
700-14,700,24.71101689338684,3463.2788598859884
700-16,700,11.256066799163818,4653.561398139814
700-17,700,18.500209093093872,3619.0936311779324
700-20,700,10.615510940551758,3463.2788598859884
700-22,700,11.874880075454712,3463.2788598859884
700-23,700,26.66465187072754,3529.1466762972595
700-24,700,12.517867088317871,3960.9008820882086
700-25,700,11.697150945663452,4008.4067326732675
700-27,700,15.181957960128784,3463.2788598859884
700-28,700,10.300101280212402,4010.078649864986
700-29,700,11.307536125183105,3463.2788598859884
700-30,700,27.749379873275757,4459.458121812181
800-1,800,8.69857120513916,4008.4067326732675
800-2,800,12.932423114776611,4025.6646084608456
800-6,800,13.45063304901123,3463.2788598859884
800-7,800,18.23319911956787,3463.2788598859884
800-10,800,16.86823320388794,3463.2788598859884
800-11,800,28.091827869415283,4255.084194419442
800-12,800,34.445061922073364,4459.458121812181
800-13,800,16.416157960891724,3463.2788598859884
800-14,800,8.742484092712402,4653.561398139814
800-15,800,77.83387112617493,4452.543630363036
800-16,800,12.467979192733765,4255.084194419442
800-17,800,21.562671899795532,3463.2788598859884
800-18,800,5.2613890171051025,3960.9008820882086
800-20,800,21.653213262557983,3472.114143414341
800-21,800,90.82748484611511,4459.458121812181
800-22,800,44.90602898597717,3463.2788598859884
800-24,800,57.84428811073303,5122.342802280227
800-25,800,53.78095316886902,4704.285718571857
800-26,800,14.455864191055298,4132.313855385539
800-27,800,23.446146965026855,4704.285718571857
800-29,800,10.553700923919678,4025.6646084608456
800-30,800,11.217972993850708,4008.4067326732675
900-1,900,11.041106224060059,3995.1758595859583
900-3,900,15.843082904815674,4008.4067326732675
900-4,900,24.943854093551636,3463.2788598859884
900-6,900,62.18712615966797,4459.458121812181
900-7,900,5.655985116958618,3441.6253945394537
900-8,900,25.501347064971924,3463.2788598859884
900-9,900,17.084280014038086,4704.285718571857
900-10,900,53.31528997421265,4008.4067326732675
900-11,900,13.396724939346313,3463.2788598859884
900-12,900,28.345448970794678,4151.803504350435
900-13,900,10.519633054733276,3463.2788598859884
